401.67, 0.71
405.16, 0.73
408.34, 0.75
411.52, 0.76
414.70, 0.77
418.02, 0.79
421.76, 0.80
425.83, 0.82
430.60, 0.83
435.37, 0.84
440.14, 0.86
444.91, 0.87
449.68, 0.88
454.45, 0.90
459.22, 0.91
463.99, 0.92
468.76, 0.93
473.53, 0.94
478.31, 0.96
483.08, 0.96
487.85, 0.97
492.62, 0.97
497.39, 0.98
502.16, 0.98
506.93, 0.98
511.70, 0.99
516.47, 0.99
521.24, 1.00
526.01, 1.00
530.78, 1.00
535.55, 1.00
540.32, 1.00
545.09, 1.00
549.86, 0.99
554.63, 0.99
559.40, 0.99
564.17, 0.98
568.94, 0.98
573.71, 0.97
578.48, 0.96
583.25, 0.95
588.02, 0.94
592.79, 0.92
597.56, 0.91
602.33, 0.90
607.10, 0.90
611.87, 0.89
616.64, 0.88
621.41, 0.88
626.18, 0.87
630.95, 0.86
635.72, 0.85
640.49, 0.84
645.26, 0.83
650.03, 0.82
654.80, 0.81
659.57, 0.80
664.34, 0.80
669.11, 0.79
673.88, 0.78
678.65, 0.77
683.42, 0.77
688.19, 0.76
692.22, 0.74
694.61, 0.73
698.92, 0.72
701.94, 0.71
705.94, 0.70
708.26, 0.69
711.91, 0.67
715.22, 0.66
718.40, 0.65
723.17, 0.64
727.94, 0.63
732.71, 0.61
737.48, 0.61
742.25, 0.60
747.02, 0.60
751.79, 0.59
756.56, 0.58
761.33, 0.57
766.10, 0.56
770.87, 0.55
774.68, 0.54
779.62, 0.53
784.39, 0.51
789.16, 0.50
793.93, 0.49
798.70, 0.48
803.47, 0.46
808.24, 0.45
813.01, 0.45
817.78, 0.44
822.55, 0.43
827.32, 0.43
832.09, 0.42
836.86, 0.41
841.63, 0.40
846.40, 0.39
851.17, 0.39
855.94, 0.38
860.71, 0.37
863.99, 0.35
867.91, 0.34
871.84, 0.33
876.61, 0.32
881.38, 0.31
886.15, 0.30
890.92, 0.28
895.16, 0.27
897.81, 0.26
901.08, 0.25
906.02, 0.23
910.79, 0.22
915.56, 0.22
920.33, 0.21
925.10, 0.20
929.87, 0.20
934.64, 0.19
939.41, 0.18
944.18, 0.17
948.96, 0.16
953.73, 0.16
958.50, 0.15
963.27, 0.14
968.04, 0.14
972.81, 0.13
977.58, 0.12
982.35, 0.11
987.12, 0.10
991.89, 0.10
996.66, 0.09
1000.23, 0.09
