wavelength,red_est,green_est,blue_est
928,13.425,13.035,12.726
929,13.278,12.883,12.582
930,13.121,12.731,12.435
931,12.963,12.579,12.289
932,12.805,12.428,12.143
933,12.653,12.278,11.996
934,12.506,12.128,11.849
935,12.360,11.979,11.702
936,12.211,11.833,11.556
937,12.053,11.686,11.410
938,11.894,11.540,11.263
939,11.736,11.388,11.117
940,11.582,11.235,10.970
941,11.429,11.083,10.824
942,11.277,10.932,10.678
943,11.124,10.783,10.531
944,10.972,10.634,10.385
945,10.819,10.484,10.239
946,10.667,10.334,10.090
947,10.514,10.184,9.940
948,10.362,10.035,9.791
949,10.211,9.885,9.647
950,10.084,9.736,9.507
951,9.956,9.586,9.367
952,9.829,9.434,9.226
953,9.708,9.282,9.082
954,9.588,9.129,8.939
955,9.468,8.996,8.796
956,9.351,8.874,8.652
957,9.236,8.752,8.509
958,9.122,8.630,8.366
959,9.004,8.507,8.220
960,8.881,8.385,8.074
961,8.758,8.263,7.927
962,8.635,8.154,7.786
963,8.517,8.044,7.649
964,8.399,7.934,7.512
965,8.281,7.815,7.381
966,8.161,7.693,7.272
967,8.042,7.571,7.162
968,7.922,7.452,7.052
969,7.804,7.336,6.942
970,7.689,7.220,6.833
971,7.575,7.105,6.723
972,7.458,6.992,6.613
973,7.335,6.880,6.503
974,7.212,6.767,6.394
975,7.088,6.645,6.284
976,6.972,6.523,6.174
977,6.857,6.400,6.064
978,6.742,6.282,5.955
979,6.620,6.167,5.845
980,6.499,6.051,5.735
981,6.377,5.935,5.625
982,6.257,5.819,5.516
983,6.145,5.703,5.407
984,6.032,5.587,5.297
985,5.917,5.465,5.191
986,5.790,5.343,5.087
987,5.662,5.221,4.982
988,5.534,5.109,4.877
989,5.416,4.999,4.775
990,5.300,4.889,4.673
991,5.185,4.773,4.570
992,5.069,4.651,4.466
993,4.952,4.529,4.357
994,4.836,4.422,4.247
995,4.727,4.355,4.143
996,4.658,4.288,4.056
997,4.588,4.221,3.970
998,4.519,4.159,3.886
999,4.452,4.098,3.841
1000,4.391,4.037,3.795
1001,4.330,3.985,3.749
1002,4.269,3.936,3.699
1003,4.207,3.887,3.647
1004,4.144,3.833,3.594
1005,4.081,3.772,3.539
1006,4.019,3.711,3.481
1007,3.957,3.652,3.423
1008,3.896,3.603,3.366
1009,3.835,3.555,3.319
1010,3.774,3.506,3.271
1011,3.712,3.446,3.223
1012,3.649,3.385,3.165
1013,3.586,3.324,3.105
1014,3.524,3.271,3.046
1015,3.464,3.222,2.994
1016,3.404,3.173,2.948
1017,3.344,3.120,2.903
1018,3.284,3.060,2.856
1019,3.224,2.999,2.795
1020,3.164,2.938,2.734
1021,3.102,2.889,2.672
1022,3.039,2.840,2.623
1023,2.977,2.792,2.575
1024,2.914,2.734,2.526
1025,2.851,2.673,2.473
1026,2.788,2.612,2.417
1027,2.725,2.557,2.361
1028,2.664,2.508,2.306
1029,2.604,2.459,2.256
1030,2.544,2.408,2.208
1031,2.483,2.347,2.159
1032,2.420,2.286,2.107
1033,2.357,2.225,2.049
1034,2.294,2.172,1.991
1035,2.234,2.120,1.935
1036,2.174,2.069,1.883
1037,2.114,2.011,1.831
1038,2.052,1.950,1.779
1039,1.990,1.889,1.727
1040,1.927,1.832,1.674
1041,1.864,1.784,1.621
1042,1.802,1.735,1.569
1043,1.739,1.685,1.520
1044,1.676,1.621,1.471
1045,1.613,1.557,1.423
1046,1.552,1.493,1.367
1047,1.491,1.443,1.308
1048,1.440,1.398,1.260
1049,1.440,1.380,1.260
1050,1.440,1.380,1.260
