wavelength,red,green,blue
400,9.85823991842632,7.67714181901431,48.8481749159944
401,9.85823991842632,7.67714181901431,48.8481749159944
402,9.85823991842632,7.67714181901431,48.8481749159944
403,9.59132764083286,7.67714181901431,50.3042680965539
404,9.32909134485705,7.41626545555647,51.629614984373
405,9.07140551382223,7.16586568140352,52.8425507195657
406,8.81813881552714,6.92549444956179,53.9219936761454
407,8.56910908374024,6.6947037130376,54.8945960321148
408,8.32446699548861,6.47329962805063,55.7298494905485
409,8.08446862360173,6.26177769808216,56.3674220049533
410,7.84937004090906,6.0604659695885,56.9080305671462
411,7.61886709021685,5.86968098018685,57.4540548142224
412,7.39218972144975,5.6897392674944,57.9209517283521
413,7.17000434093836,5.52095736912835,58.2700482669082
414,6.9530299019897,5.36365182270589,58.5978380568283
415,6.74157504943055,5.21813916584422,59.0008147250499
416,6.53241943431876,5.08473593616053,59.5265521498642
417,6.32638808256674,4.95950290027757,60.0606215413406
418,6.12557509987649,4.83761640550844,60.6175595912052
419,5.93207459195,4.72162857829969,61.2274421064863
420,5.74134755376515,4.61416661192481,61.9167379045135
421,5.54916918203899,4.51785769965731,62.6683228152954
422,5.36211920662375,4.43532903477068,63.468703921267
423,5.18683753302159,4.36920781053841,64.4600303133074
424,5.02820958997596,4.32212122023399,65.4540934146649
425,4.8785011214473,4.29960903599087,66.312802839608
426,4.73643448318345,4.30801964260074,67.2349205775878
427,4.60282832007583,4.34207134486088,68.0094799563852
428,4.47850163192008,4.39592984935892,68.6606739420881
429,4.36920200493963,4.46376086268253,69.2532267285155
430,4.27548889700399,4.53973009141935,69.7437759029339
431,4.19067626524416,4.61800324215704,70.1821020745374
432,4.10807806679113,4.69274602148326,70.61798585252
433,4.02558474852467,4.76290736300771,71.0921549097851
434,3.95831983173557,4.84722313669583,71.5347398017143
435,3.90127855604865,4.9458852723391,71.9582412971771
436,3.84642423483534,5.05606378090158,72.4123320555366
437,3.78582287462449,5.17492867334731,72.9366518553175
438,3.72501718558515,5.29964996064035,73.4938158683333
439,3.66948125886891,5.42739765374475,74.0705103971609
440,3.61688758366826,5.55534176362456,74.6637274488469
441,3.56490864917565,5.68065230124384,75.2984340890471
442,3.51189913540601,5.80049927756662,76.0012134165519
443,3.45943974540154,5.91151516416027,76.7007452964931
444,3.40869278398182,5.98788523854114,77.3438399662691
445,3.36068311517729,6.02703578907001,78.0356395204866
446,3.31627071906809,6.0433925167716,78.7283152631908
447,3.27109299581591,6.05138112267061,79.3556307281359
448,3.22545028243435,6.06542730779177,80.0194565326236
449,3.18293376924852,6.09995677315979,80.6848260101761
450,3.14713464658353,6.16939521979939,81.2796355523165
451,3.11614642631114,6.28816834873528,81.7420046241195
452,3.08107081696601,6.46618047781526,82.1330642905596
453,3.04802228993428,6.6230589600941,82.4730769243054
454,3.02386701948792,6.7480861424441,82.7555051237523
455,3.01450848924315,6.87268225728237,82.9738114872956
456,3.00914388814089,7.02826753702603,83.1028855301249
457,3.00659636687376,7.2462622140922,83.1245559106187
458,3.01184969404148,7.55808652089797,83.0792521688633
459,3.02988763824379,7.99516068986047,83.0088276070342
460,3.06251742968976,8.5889049533968,82.954709366859
461,3.10520068210305,9.35901502371541,82.8833921505768
462,3.15645825588422,10.2099368629096,82.7624244752149
463,3.21491961015806,11.1878785779925,82.606539694141
464,3.28052976372688,12.374682507033,82.4304711607225
465,3.36369900216553,13.7187694857841,82.2688828930212
466,3.4602948427108,15.2413603882098,82.1710183465453
467,3.56196649483437,16.9968642629898,82.0717259230909
468,3.66036316800791,18.9378919655788,81.8969020325758
469,3.76386988081249,21.0826296201256,81.5769951579056
470,3.8849583853197,23.5638376353926,81.2280753528335
471,4.01200230319431,26.4009480185201,80.870538425392
472,4.13323497907617,29.6620689467446,80.4224246396144
473,4.2419228113935,33.5067759579588,79.8015246445342
474,4.36156847367934,37.8285609528367,78.9364864394764
475,4.48738711214405,42.0739897407095,77.9178275603255
476,4.6078176568218,46.0285312825732,76.888031458316
477,4.71177246828125,49.5234089677201,75.7090887385224
478,4.81074622181473,53.1768940965675,74.4992641291483
479,4.91047674891193,56.9394390109643,73.2956949707033
480,5.00570332834763,60.6259213673952,72.0445361969172
481,5.09116523889663,63.2507810575233,70.7420971707211
482,5.16160464509426,65.4450615811844,69.4648459665088
483,5.21835422711863,67.777296466157,68.2708348269685
484,5.26765193029299,70.4576550729505,66.9409593781835
485,5.31577849023887,73.1780348550198,65.5640321076269
486,5.36901464257778,75.8457556379008,64.2444339580009
487,5.41304609009409,78.5083019971884,63.0827972579339
488,5.43628453352639,80.9041152026112,62.0146097199134
489,5.45238839809752,82.8741365944869,60.9023226848632
490,5.47502983482459,84.5742606483054,59.8262100978165
491,5.51788099472474,86.0622480286016,58.6613445132962
492,5.57665115756668,87.3125601883738,57.4459459376294
493,5.62174725634272,88.3908684037033,56.2073564318152
494,5.66794423144145,89.4172658791814,54.9360171007801
495,5.73219672525132,90.2696434523839,53.6199629734469
496,5.82602831226388,90.9834376758337,52.2737209900214
497,5.92319110521188,91.6100092046152,50.9771205911269
498,6.02496379118039,92.2007186938131,49.6918712543765
499,6.14048365669673,92.8069267985118,48.4153422848165
500,6.27888798828826,93.4165215150384,47.1315170316483
501,6.43753941457277,93.961711403979,45.8468667445976
502,6.60845598710502,94.4513284623362,44.5771812838602
503,6.79318089037378,94.8950040982535,43.3215804429579
504,6.99325778038429,95.3023697198743,42.0869108428061
505,7.21222715619976,95.6830567353421,40.854463118675
506,7.45792606125879,96.0466965528005,39.6101271615051
