wavelength_nm,red_qe,green_qe,blue_qe
479,3.9696645526,25.3904012185,94.5847492974
480,3.9949150038,25.8630937563,93.806011499
481,4.0067279826,26.1922676359,92.6299270194
482,4.0075797906,26.4100257913,91.1537202218
483,3.9926654415,26.5471667913,89.5017992961
484,3.9645688876,26.5112570941,87.5430426027
485,3.9321002619,26.3451529261,85.3188735394
486,3.9026901738,26.2216130813,82.9697215598
487,3.86574171,26.3024591898,81.1143799205
488,3.8285905792,26.5113735672,79.4702852086
489,3.8062658312,26.8375235841,77.491062137
490,3.8131677244,27.3470861618,75.2852334926
491,3.8494545067,28.1236014169,73.2311234441
492,3.9012103341,29.1493400696,71.2887897905
493,3.9539243995,30.2683961802,68.9253651267
494,3.9995895443,31.4557038269,66.9043562592
495,4.0484314294,32.7161681254,65.107411742
496,4.0942748585,33.9741186419,63.2200034064
497,4.129346185,35.0439980169,61.4639802445
498,4.1535418132,36.0145814427,59.9232049372
499,4.1718343585,36.7128040067,58.6104923588
500,4.1746751823,36.9774839475,57.5386573833
501,4.152214222,36.87584279,56.7205421349
502,4.0865550247,36.573120871,56.2543099531
503,3.9897205438,36.2347966143,56.0853846538
504,3.8953965811,35.7979097384,56.0081429838
505,3.8355462727,35.1923869634,55.824529377
506,3.7844092704,34.6834014515,55.6175515803
507,3.7505366918,34.5266940938,55.3953254338
508,3.773315013,34.1169755788,55.0430957794
509,3.8894593898,33.9820070973,54.499194779
510,4.093094531,35.4731547636,53.8787745927
511,4.3660353326,38.4110302185,53.0111790936
512,4.6942892308,44.1080288228,51.6079250058
513,5.0745689417,49.3817447096,46.6101512736
514,5.5331462309,53.4827426972,41.6944663998
515,6.031772839,57.9150700203,39.7360238916
516,6.5238068867,64.0159176328,37.6550280927
517,6.9824909276,70.4127392804,35.2811099274
518,7.4348144706,75.1752648305,32.5954232046
519,7.8784289364,78.0665364212,30.4075542343
520,8.3086701369,80.8783329005,29.0960422667
521,8.7265456383,84.1649721602,27.9482882837
522,9.1343054628,86.4482329896,26.9399438576
523,9.5252806971,88.0618871753,26.0573712443
524,9.8928771628,89.0287099803,25.3290969482
525,10.2513014198,90.0322647191,24.7069725657
526,10.5940025843,90.9374948371,24.1060194179
527,10.8929955288,91.8362059661,23.5169873529
528,11.1215470379,92.7095188851,22.9664535828
529,11.2851030456,93.5594243194,22.4215623139
530,11.3918647815,94.4184161955,21.8482234409
531,11.4423504887,95.2609376342,21.2088370971
532,11.4343373101,96.063193981,20.6275203625
533,11.3552242297,96.8286430354,20.2461006982
534,11.2240169182,97.5574478462,20.0142031438
535,11.0655910446,98.2060978471,19.8143589467
536,10.8944986729,98.747478745,19.5691841779
537,10.6917400971,99.2141082109,19.3462484507
538,10.4702719159,99.5938815584,19.1069507117
539,10.2469370303,99.8687451987,18.7984101438
540,10.033334996,100.0317588815,18.3648751806
541,9.8213151219,100.0968609608,17.7930491332
542,9.6016319585,100.0623495164,17.1773954983
543,9.3652162515,99.9258648681,16.6225866773
544,9.0967235201,99.6921885633,16.1759689625
545,8.8047853142,99.3639267419,15.7865034713
546,8.5186698867,98.933940777,15.4179851263
547,8.2672443368,98.3957648056,15.0347393804
548,8.0492937022,97.773501063,14.6375918695
549,7.8541565893,97.049799308,14.2402463074
550,7.6815738766,96.1797158547,13.8442574235
551,7.5317503386,95.1601467846,13.450876154
552,7.408723128,93.9861659489,13.0579588595
553,7.3077817017,92.6066025166,12.6671787263
554,7.2216706561,91.0684592184,12.281645213
555,7.1465483503,89.3607823808,11.9007952041
556,7.0925555767,87.7724350105,11.5130884327
557,7.0483440146,86.2465223098,11.1364026786
558,6.9988846142,84.7938161869,10.7930223952
559,6.933730291,83.4194890408,10.5011446866
560,6.8603761483,82.2429197775,10.2528072032
561,6.7821300512,81.4159506781,10.0327109941
562,6.7015832153,80.7287792695,9.8258270094
563,6.5966303008,79.8990384713,9.6268700934
564,6.4629569424,78.7145017934,9.4441667421
565,6.3630066556,77.4298804385,9.2748371044
566,6.3600540104,76.4115552684,9.115775753
567,6.4563211718,75.5898555093,8.9675886841
568,6.6277080993,74.7865540807,8.8311226716
569,6.8880454278,73.8909291381,8.7043047432
570,7.2509456085,72.9722044281,8.5853080169
571,7.7187444811,72.0502000806,8.4781874059
572,8.2838047907,71.1419798946,8.3800655964
573,8.9393548624,70.237907285,8.2842054281
574,9.6511066062,69.3148771488,8.1842288023
575,10.4312932055,68.3793892371,8.0803848706
576,11.3463567843,67.4241229982,7.9770221185
577,12.2653601604,66.4350379767,7.8782864908
578,13.4898331939,65.4158629788,7.7871645909
579,15.054494788,64.3450487986,7.7011678846
580,17.3227804423,63.2145099274,7.6207580275
581,20.7843514327,62.0374992138,7.5469715058
582,25.6095393257,60.8374686772,7.4823262232
583,31.0646719978,59.5902394901,7.4275890359
584,36.546711588,58.2176234597,7.376279465
585,43.4057590955,56.7959975223,7.3216603503
586,48.5806479572,55.4013216027,7.2640954627
587,54.675835038,54.0924951108,7.2066839261
588,59.0591349071,52.9520167133,7.1432556097
589,64.3996186899,51.698115708,7.0676328484
590,67.7992809311,50.3438469545,6.979655367
591,70.3397619738,48.9658059048,6.8817733146
592,72.5858916615,47.5961359181,6.7739866913
593,74.3908854188,46.2447887012,6.6559160036
594,75.9175712263,44.9050915038,6.5229542624
595,77.2359002122,43.5785850982,6.3801230781
596,78.4552014748,42.0669505791,6.2357143403
597,79.5293456709,40.4747811501,6.0970323665
598,80.483436072,39.2063029325,5.9616010163
599,81.3103642661,38.1031671619,5.826452956
600,81.9887708954,36.8461627895,5.6895152131
601,82.4966920306,35.3507797774,5.5484482845
602,82.8161111393,33.822540176,5.402973227
603,82.9816942729,32.285815321,5.2570077509
604,83.0393776593,30.8097798569,5.114697801
605,83.0213301322,29.4185850531,4.9772262071
606,82.8812755296,28.0808742023,4.8420079166
607,82.6564282509,26.7893693361,4.7114830005
608,82.4028947408,25.531641926,4.5882426745
609,82.1601237834,24.3146903024,4.4726068599
610,81.8981445632,23.1747172642,4.3634265216
611,81.6090988952,22.10353915,4.261219659
612,81.2890481319,21.0977833309,4.1665124747
613,80.9325127166,20.1602494169,4.07983727
614,80.5406358363,19.2930618079,4.0005369303
615,80.1239383292,18.4821809771,3.9275749693
616,79.6930960032,17.7061230587,3.8598578137
617,79.2389203758,16.9667075139,3.7965858284
618,78.7609801643,16.2781668224,3.7394017928
619,78.2835289009,15.6527314634,3.6903786792
620,77.8308232794,15.0994571039,3.6514912862
621,77.4159888455,14.6119247282,3.6226718277
622,77.0199516213,14.179189373,3.6019228907
623,76.618009566,13.7903534742,3.5871715028
624,76.1921737354,13.4531956482,3.5782966215
625,75.7869148189,13.1652931129,3.5776454586
626,75.370544802,12.9055244908,3.5809532743
627,74.8863770426,12.6533742213,3.5835558807
628,74.2954061981,12.4087760507,3.5835993358
